Unnamed: 0,Unnamed: 1,名詞短語,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,動詞短語,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,介詞短語,Unnamed: 14,句子,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,NP1,NP2,NP3,NP4,NP5,VP1,VP2,VP3,VP4,VP5,VP6,PP1,PP2,S1,S2,S3,S4,S5,S6,S7
,,量詞-個,量詞-特定,X 的,X 的 Y,方位,體貌標記,結果補語,趨向補語,情態補語,可能補語,數量補語,動前介詞,動後介詞,把字句,被字句,存現句,連動/兼語,帶連詞複句,緊縮複句,感知/心理狀態主謂句
10_TP_t3001,熊 .,,,,,,,,,,,,,,,,,,,,
10_TP_t3002,維尼熊 .,,,,,,,,,,,,,,,,,,,,
10_TP_t3003,豬豬 .,,,,,,,,,,,,,,,,,,,,
10_TP_t3004,這 是 量 體溫 的 .,,,1,,,,,,,,,,,,,,,,,
10_TP_t3005,媽 我 自己  ,,,,,,,,,,,,,,,,,,,,
10_TP_t3006,我 自己 用 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3007,媽 我 自己 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3008,我 量 一下 吧 . ,,,,,,,,,,,1,,,,,,,,,
10_TP_t3009,爸爸 不要 量 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3010,小熊維尼 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3011,小熊維尼 當 醫生 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3012,我 要 幫 你 打針 . ,,,,,,,,,,,,,,,,,1,,,
10_TP_t3013,沒有 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3014,好 了 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3015,換 小豬 了 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3016,好 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3017,沒有 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3018,沒有 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3019,不 知道 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3020,我 幫 你 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3021,另外 一 邊 . ,,,,,1,,,,,,,,,,,,,,,
10_TP_t3022,我 還 要 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3023,沒有 聲音 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3024,好 了 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3025,可以 打針 了 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3026,這 個 小熊 . ,1,,,,,,,,,,,,,,,,,,,
10_TP_t3027,在 我 的 後面 . ,,,,1,1,,,,,,,,,,,,,,,
10_TP_t3028,不要 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3029,我 還 要 玩 打針 的 遊戲 . ,,,,1,,,,,,,,,,,,,,,,
10_TP_t3030,有 . ,,,,,,,,,,,,,,,,,,,,
10_TP_t3031,先 放 小熊 . ,,,,,,,,,,,,,,,,,,,,
