Unnamed: 0,Unnamed: 1,名詞短語,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,動詞短語,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,介詞短語,Unnamed: 14,句子,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,NP1,NP2,NP3,NP4,NP5,VP1,VP2,VP3,VP4,VP5,VP6,PP1,PP2,S1,S2,S3,S4,S5,S6,S7
,,量詞-個,量詞-特定,X 的,X 的 Y,方位,體貌標記,結果補語,趨向補語,情態補語,可能補語,數量補語,動前介詞,動後介詞,把字句,被字句,存現句,連動/兼語,帶連詞複句,緊縮複句,感知/心理狀態主謂句
B28t2037,然後呢在這裡切一半.,,,,,1,,,,,,1,1,,,,,,1,,
10_TP_t3008,我量一下吧.,,,,,,,,,,,1,,,,,,,,,
10_TP_t3090,我去看一下.,,,,,,,,,,,1,,,,,,,,,
10_TP_t3091,我去看一下.,,,,,,,,,,,1,,,,,,,,,
10_TP_t3092,我看一下.,,,,,,,,,,,1,,,,,,,,,
10_TP_t3094,我想看一下.,,,,,,,,,,,1,,,,,,,,,
14_TP_t3022,不要聽一次的.,,,1,,,,,,,,1,,,,,,,,,
D06005,爸爸這黏一下.,,,,,,,,,,,1,,,,,,,,,
D06009,再幫我弄一下.,,,,,,,,,,,1,,,,,,1,,,
D06082,爸比教我爸比教我一下.,,,,,,,,,,,1,,,,,,,,,
D14085,等一下我.,,,,,,,,,,,,,,,,,,,,
D14087,你的借我一下.,,,1,,,,,,,,1,,,,,,,,,
D16099,阿姨說要拼一次.,,,,,,,,,,,1,,,,,,,,,
D21030,等一下好了玉米.,,,,,,,,,,,1,,,,,,,,,
E01059,它裝再一次.,,,,,,,,,,,1,,,,,,,,,
E01061,等一下.,,,,,,,,,,,1,,,,,,,,,
E01077,我要量一下耶.,,,,,,,,,,,1,,,,,,,,,
E01097,等一下.,,,,,,,,,,,1,,,,,,,,,
E05071,要先打針一下.,,,,,,,,,,,1,,,,,,,,,
E06023,再一點.,,1,,,,,,,,,1,,,,,,,,,
E06054,我幫他聽一下.,,,,,,,,,,,1,,,,,,1,,,
E12058,沒關係再試一次.,,,,,,,,,,,1,,,,,,,,,
E16074,高一點.,,,,,,,,,,,1,,,,,,,,,
E16075,高一點.,,,,,,,,,,,1,,,,,,,,,
E21010,再一次吧!,,,,,,,,,,,1,,,,,,,,,
E21024,再重來一次.,,,,,,,,,,,1,,,,,,,,,
E22056,高一點的橋.,,,,1,,,,,,,1,,,,,,,,,
C03056,那沒關係我來幫你打針一下.,,,,,,,,,,,1,,,,,,1,,,
C03061,吃一次就行了!,,,,,,,,,,,1,,,,,,,,1,
C03092,我先我先看一下.,,,,,,,,,,,1,,,,,,,,,
C09018,等一下才知道.,,,,,,,,,,,1,,,,,,,,,
C09060,我幫你我幫你按一下.,,,,,,,,,,,1,,,,,,1,,,
C12039,不要等一下再收.,,,,,,,,,,,1,,,,,,,,,
C12040,等一下.,,,,,,,,,,,1,,,,,,,,,
C13093,你幫我打一次.,,,,,,,,,,,1,,,,,,1,,,
C13100,翻一下.,,,,,,,,,,,1,,,,,,,,,
